ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.25.74;ae31.708;ec:4c:4d:f4:ff:7e;963;IPTV;;;
10.1.25.78;ae31.708;1c:bb:a8:23:5b:e8;152;IPTV;;;
10.1.25.79;ae31.708;e4:27:71:18:9d:c3;164;IPTV;;;
10.1.25.80;ae31.708;e4:27:71:45:10:31;807;IPTV;;;
10.1.25.82;ae31.708;e4:27:71:67:f0:eb;744;IPTV;;;
10.1.25.83;ae31.708;e4:27:71:02:2b:85;750;IPTV;;;
10.1.25.84;ae31.708;e4:27:71:6c:1b:34;104;IPTV;;;
10.1.25.85;ae31.708;e4:27:71:27:41:91;1093;IPTV;;;
10.1.25.86;ae31.708;e4:27:71:02:4b:18;126;IPTV;;;
10.1.25.87;ae31.708;ec:4c:4d:f0:2c:97;38;IPTV;;;
10.1.25.92;ae31.708;e4:27:71:52:58:cb;763;IPTV;;;
10.1.25.93;ae31.708;e4:27:71:03:60:53;305;IPTV;;;
10.1.25.94;ae31.708;e4:27:71:25:17:35;1007;IPTV;;;
10.1.25.96;ae31.708;e4:27:71:18:6e:d6;1163;IPTV;;;
10.1.25.98;ae31.708;e4:27:71:65:4a:98;510;IPTV;;;
10.1.25.103;ae31.708;e4:27:71:02:2e:4b;716;IPTV;;;
10.1.25.104;ae31.708;e4:27:71:03:73:9e;974;IPTV;;;
10.1.25.105;ae31.708;e4:27:71:62:73:24;182;IPTV;;;
10.1.25.107;ae31.708;e4:27:71:25:80:0c;1114;IPTV;;;
10.1.25.108;ae31.708;e4:27:71:1e:8c:d9;796;IPTV;;;
10.1.25.109;ae31.708;d8:af:81:03:46:43;1266;IPTV;;;
10.1.25.110;ae31.708;00:1a:79:13:ab:9e;162;IPTV;;;
10.1.25.112;ae31.708;00:1a:79:13:ac:57;988;IPTV;;;
10.1.25.115;ae31.708;e4:27:71:0a:3a:af;640;IPTV;;;
10.1.25.116;ae31.708;1c:bb:a8:24:1e:60;1008;IPTV;;;
10.1.25.118;ae31.708;20:e5:64:f0:87:69;356;IPTV;;;
10.1.25.120;ae31.708;e4:27:71:4c:81:f6;347;IPTV;;;
10.1.25.121;ae31.708;5c:e3:0e:e0:de:1c;394;IPTV;;;
10.1.25.122;ae31.708;00:1a:79:14:54:8e;425;IPTV;;;
10.1.25.126;ae31.708;00:1a:79:0b:c6:ac;59;IPTV;;;
10.1.25.127;ae31.708;00:1a:79:0d:6c:ea;1045;IPTV;;;
10.1.25.129;ae31.708;e4:27:71:4d:27:55;842;IPTV;;;
10.1.25.130;ae31.708;e4:27:71:13:d4:86;1360;IPTV;;;
10.1.25.132;ae31.708;e4:27:71:26:9c:b5;424;IPTV;;;
10.1.25.133;ae31.708;e4:27:71:46:21:17;763;IPTV;;;
10.1.25.135;ae31.708;e0:d9:e3:89:d1:80;221;IPTV;;;
10.1.25.136;ae31.708;00:1a:79:0f:86:8c;260;IPTV;;;
10.1.25.137;ae31.708;e4:27:71:6c:00:76;914;IPTV;;;
10.1.25.138;ae31.708;00:1a:79:05:f0:e4;541;IPTV;;;
10.1.25.139;ae31.708;e4:27:71:4c:85:14;555;IPTV;;;
10.1.25.140;ae31.708;00:1a:79:04:dc:fa;728;IPTV;;;
10.1.25.145;ae31.708;ec:4c:4d:f4:ff:92;1055;IPTV;;;
10.1.25.146;ae31.708;1c:bb:a8:27:3d:b4;261;IPTV;;;
10.1.25.147;ae31.708;ec:4c:4d:6e:f8:de;574;IPTV;;;
10.1.25.148;ae31.708;00:1a:79:0f:85:62;199;IPTV;;;
10.1.25.149;ae31.708;e4:27:71:03:6b:21;963;IPTV;;;
10.1.25.151;ae31.708;e4:27:71:62:7d:40;499;IPTV;;;
10.1.25.153;ae31.708;e4:27:71:06:50:59;488;IPTV;;;
10.1.25.154;ae31.708;e4:27:71:51:53:6b;55;IPTV;;;
10.1.25.161;ae31.708;e4:27:71:4d:26:99;20;IPTV;;;
10.1.25.162;ae31.708;e4:27:71:14:b0:14;698;IPTV;;;
10.1.25.163;ae31.708;00:1a:79:14:54:d9;983;IPTV;;;
10.1.25.164;ae31.708;e4:27:71:46:28:ba;892;IPTV;;;
10.1.25.165;ae31.708;e4:27:71:1f:ed:19;146;IPTV;;;
10.1.25.169;ae31.708;e4:27:71:1f:41:ee;340;IPTV;;;
10.1.25.172;ae31.708;e4:27:71:09:1b:36;523;IPTV;;;
10.1.25.173;ae31.708;e4:27:71:48:08:17;731;IPTV;;;
10.1.25.174;ae31.708;e4:27:71:4c:82:66;180;IPTV;;;
10.1.25.175;ae31.708;00:1a:79:04:de:18;1115;IPTV;;;
10.1.25.176;ae31.708;e4:27:71:4c:84:f6;15;IPTV;;;
10.1.25.178;ae31.708;e4:27:71:55:0d:16;625;IPTV;;;
10.1.25.179;ae31.708;1c:bb:a8:05:9c:bf;806;IPTV;;;
10.1.25.180;ae31.708;e4:27:71:09:63:be;700;IPTV;;;
10.1.25.181;ae31.708;1c:bb:a8:17:bf:81;664;IPTV;;;
10.1.25.182;ae31.708;1c:bb:a8:0c:3a:9e;1168;IPTV;;;
10.1.25.183;ae31.708;e4:27:71:46:1f:29;267;IPTV;;;
10.1.25.185;ae31.708;e0:d9:e3:89:71:60;484;IPTV;;;
10.1.25.187;ae31.708;ec:4c:4d:74:33:bd;720;IPTV;;;
10.1.25.190;ae31.708;e4:27:71:55:ca:40;1277;IPTV;;;
10.1.25.193;ae31.708;e4:27:71:03:73:51;1262;IPTV;;;
10.1.25.195;ae31.708;e4:27:71:54:f7:c3;343;IPTV;;;
10.1.25.197;ae31.708;1c:bb:a8:24:8c:e7;919;IPTV;;;
10.1.25.198;ae31.708;e4:27:71:60:e1:5b;1279;IPTV;;;
10.1.25.199;ae31.708;d8:af:81:03:46:3e;469;IPTV;;;
10.1.25.201;ae31.708;e4:27:71:45:cc:bc;1054;IPTV;;;
10.1.25.204;ae31.708;e4:27:71:40:80:a8;805;IPTV;;;
10.1.25.205;ae31.708;ec:4c:4d:72:40:17;139;IPTV;;;
10.1.25.206;ae31.708;ec:4c:4d:f4:ff:28;33;IPTV;;;
10.1.25.207;ae31.708;e4:27:71:6c:1b:32;1023;IPTV;;;
10.1.25.208;ae31.708;e4:27:71:25:17:ab;146;IPTV;;;
10.1.25.209;ae31.708;ec:4c:4d:6e:24:b2;1027;IPTV;;;
