ip;int;mac;exp;vrf
11.91.17.6;lag-3:22*;58:50:ed:0d:a2:a3;02h58m50s;USI_ROS_UIK
11.91.17.7;lag-3:22*;58:50:ed:0d:a2:9a;02h59m32s;USI_ROS_UIK
11.91.17.8;lag-3:22*;58:50:ed:0d:a2:26;02h59m41s;USI_ROS_UIK
11.91.17.9;lag-3:22*;58:50:ed:0d:a2:9e;02h59m35s;USI_ROS_UIK
11.90.145.2;lag-3:73*;ac:cb:51:0b:82:2b;03h55m11s;USI_ROS_UIK
11.90.145.3;lag-3:73*;ac:cb:51:03:8b:e5;03h46m23s;USI_ROS_UIK
11.90.145.4;lag-3:73*;ac:cb:51:03:8b:e9;03h54m32s;USI_ROS_UIK
11.90.145.5;lag-3:73*;ac:cb:51:03:8b:e8;03h40m29s;USI_ROS_UIK
11.90.145.6;lag-3:73*;ac:cb:51:03:8b:61;03h35m07s;USI_ROS_UIK
11.90.145.7;lag-3:73*;ac:cb:51:03:8b:e3;03h59m53s;USI_ROS_UIK
11.90.145.8;lag-3:73*;ac:cb:51:03:8c:33;03h49m18s;USI_ROS_UIK
11.90.145.9;lag-3:73*;ac:cb:51:03:8b:e2;03h56m39s;USI_ROS_UIK
11.90.145.10;lag-3:73*;ac:cb:51:0b:82:d1;03h59m14s;USI_ROS_UIK
11.90.145.11;lag-3:73*;ac:cb:51:0b:82:89;03h36m04s;USI_ROS_UIK
11.90.145.12;lag-3:73*;ac:cb:51:03:8c:9b;03h38m39s;USI_ROS_UIK
11.90.145.13;lag-3:73*;ac:cb:51:03:8b:ac;03h39m05s;USI_ROS_UIK
11.90.145.14;lag-3:73*;ac:cb:51:00:52:a7;02h26m58s;USI_ROS_UIK
11.90.145.15;lag-3:73*;ac:cb:51:03:8c:79;02h48m44s;USI_ROS_UIK
11.90.145.16;lag-3:73*;ac:cb:51:00:52:33;01h28m23s;USI_ROS_UIK
11.90.145.17;lag-3:73*;ac:cb:51:00:53:56;03h00m22s;USI_ROS_UIK
11.90.145.18;lag-3:73*;ac:cb:51:00:52:e4;02h55m20s;USI_ROS_UIK
11.90.145.19;lag-3:73*;ac:cb:51:00:53:bc;00h36m04s;USI_ROS_UIK
11.90.145.20;lag-3:73*;58:50:ed:15:77:a8;03h55m49s;USI_ROS_UIK
11.90.145.21;lag-3:73*;ac:cb:51:0b:83:77;03h31m17s;USI_ROS_UIK
11.90.145.22;lag-3:73*;ac:cb:51:0b:82:99;03h59m57s;USI_ROS_UIK
11.90.145.23;lag-3:73*;ac:cb:51:03:8b:fb;03h53m43s;USI_ROS_UIK
11.90.145.24;lag-3:73*;ac:cb:51:03:8c:a8;03h37m35s;USI_ROS_UIK
11.90.145.25;lag-3:73*;ac:cb:51:0b:83:94;03h21m40s;USI_ROS_UIK
11.90.145.26;lag-3:73*;ac:cb:51:03:8c:8e;03h53m46s;USI_ROS_UIK
11.90.145.27;lag-3:73*;ac:cb:51:03:8c:a4;03h55m05s;USI_ROS_UIK
11.90.145.28;lag-3:73*;ac:cb:51:0b:82:79;03h58m29s;USI_ROS_UIK
11.90.145.29;lag-3:73*;ac:cb:51:0b:83:02;03h57m26s;USI_ROS_UIK
11.90.145.30;lag-3:73*;ac:cb:51:0b:83:89;03h46m52s;USI_ROS_UIK
11.90.145.31;lag-3:73*;ac:cb:51:0b:83:2b;03h44m18s;USI_ROS_UIK
11.90.145.32;lag-3:73*;ac:cb:51:0b:83:ca;03h52m23s;USI_ROS_UIK
11.90.145.33;lag-3:73*;ac:cb:51:03:8c:5e;01h03m34s;USI_ROS_UIK
11.90.145.34;lag-3:73*;ac:cb:51:0b:83:82;02h31m58s;USI_ROS_UIK
11.90.145.35;lag-3:73*;ac:cb:51:00:53:5d;01h05m26s;USI_ROS_UIK
11.90.145.36;lag-3:73*;ac:cb:51:00:54:90;03h31m32s;USI_ROS_UIK
11.90.145.37;lag-3:73*;ac:cb:51:00:53:87;02h14m59s;USI_ROS_UIK
11.90.145.38;lag-3:73*;ac:cb:51:00:54:67;02h07m41s;USI_ROS_UIK
11.90.145.39;lag-3:73*;58:50:ed:0d:9d:af;03h59m51s;USI_ROS_UIK
11.90.135.2;lag-3:82*;ac:cb:51:00:56:84;01h43m39s;USI_ROS_UIK
11.90.135.3;lag-3:82*;ac:cb:51:00:55:eb;03h47m29s;USI_ROS_UIK
11.90.135.4;lag-3:82*;ac:cb:51:00:55:e9;02h19m38s;USI_ROS_UIK
11.90.135.5;lag-3:82*;ac:cb:51:00:55:b6;03h27m34s;USI_ROS_UIK
11.90.135.6;lag-3:82*;ac:cb:51:00:57:0b;00h12m27s;USI_ROS_UIK
11.90.135.7;lag-3:82*;ac:cb:51:00:5a:72;02h31m22s;USI_ROS_UIK
11.90.135.8;lag-3:82*;ac:cb:51:00:59:fe;03h31m06s;USI_ROS_UIK
11.90.135.9;lag-3:82*;ac:cb:51:00:55:b7;02h54m20s;USI_ROS_UIK
11.90.135.10;lag-3:82*;ac:cb:51:00:56:bf;03h34m47s;USI_ROS_UIK
11.90.135.11;lag-3:82*;ac:cb:51:00:59:ca;03h56m39s;USI_ROS_UIK
11.90.135.12;lag-3:82*;ac:cb:51:00:56:07;01h59m13s;USI_ROS_UIK
11.90.135.13;lag-3:82*;ac:cb:51:00:56:5d;03h58m35s;USI_ROS_UIK
11.90.135.14;lag-3:82*;ac:cb:51:00:54:2f;03h08m59s;USI_ROS_UIK
11.90.135.15;lag-3:82*;ac:cb:51:00:51:15;03h19m17s;USI_ROS_UIK
11.90.135.16;lag-3:82*;ac:cb:51:00:4e:f0;01h30m20s;USI_ROS_UIK
11.90.135.17;lag-3:82*;ac:cb:51:00:54:6e;00h14m57s;USI_ROS_UIK
11.90.135.18;lag-3:82*;ac:cb:51:00:53:0d;01h39m51s;USI_ROS_UIK
11.90.135.19;lag-3:82*;ac:cb:51:00:54:55;02h14m16s;USI_ROS_UIK
11.90.135.20;lag-3:82*;ac:cb:51:00:51:29;01h42m24s;USI_ROS_UIK
11.90.135.21;lag-3:82*;ac:cb:51:00:54:21;03h34m47s;USI_ROS_UIK
11.90.135.22;lag-3:82*;ac:cb:51:00:56:8b;02h55m10s;USI_ROS_UIK
11.90.135.23;lag-3:82*;ac:cb:51:00:5c:36;03h54m32s;USI_ROS_UIK
11.90.135.24;lag-3:82*;ac:cb:51:00:5b:7c;00h46m17s;USI_ROS_UIK
11.90.135.25;lag-3:82*;ac:cb:51:00:55:e8;00h31m56s;USI_ROS_UIK
11.90.135.26;lag-3:82*;ac:cb:51:00:55:e2;03h54m21s;USI_ROS_UIK
11.90.135.27;lag-3:82*;ac:cb:51:00:56:1f;01h52m15s;USI_ROS_UIK
11.90.135.28;lag-3:82*;ac:cb:51:00:56:64;02h49m42s;USI_ROS_UIK
11.90.135.29;lag-3:82*;ac:cb:51:00:56:7f;01h18m05s;USI_ROS_UIK
11.90.135.30;lag-3:82*;ac:cb:51:00:5a:60;03h12m09s;USI_ROS_UIK
11.90.135.31;lag-3:82*;ac:cb:51:00:58:3d;03h54m00s;USI_ROS_UIK
11.90.135.32;lag-3:82*;ac:cb:51:00:57:10;01h43m50s;USI_ROS_UIK
11.90.135.33;lag-3:82*;ac:cb:51:00:5b:75;02h51m22s;USI_ROS_UIK
11.90.135.34;lag-3:82*;ac:cb:51:00:59:c0;03h00m05s;USI_ROS_UIK
11.90.135.35;lag-3:82*;ac:cb:51:00:5b:ca;02h50m16s;USI_ROS_UIK
11.90.135.36;lag-3:82*;ac:cb:51:00:50:c8;02h31m33s;USI_ROS_UIK
11.90.135.37;lag-3:82*;ac:cb:51:00:4e:a9;03h48m06s;USI_ROS_UIK
11.90.135.38;lag-3:82*;ac:cb:51:00:50:a1;03h11m30s;USI_ROS_UIK
11.90.135.39;lag-3:82*;ac:cb:51:00:53:11;01h51m02s;USI_ROS_UIK
11.90.135.40;lag-3:82*;ac:cb:51:00:51:0d;01h34m13s;USI_ROS_UIK
11.90.135.41;lag-3:82*;ac:cb:51:00:53:ff;03h44m07s;USI_ROS_UIK
11.90.135.42;lag-3:82*;ac:cb:51:00:54:9a;03h49m51s;USI_ROS_UIK
11.90.135.43;lag-3:82*;ac:cb:51:00:5b:5d;02h03m53s;USI_ROS_UIK
11.90.231.2;lag-3:29*;ac:cb:51:00:59:3e;03h14m37s;USI_ROS_UIK
11.90.231.3;lag-3:29*;ac:cb:51:00:57:3a;03h26m31s;USI_ROS_UIK
11.90.231.4;lag-3:29*;ac:cb:51:00:57:13;03h56m19s;USI_ROS_UIK
11.90.231.5;lag-3:29*;ac:cb:51:00:55:4e;03h22m11s;USI_ROS_UIK
11.90.231.6;lag-3:29*;ac:cb:51:00:5c:11;01h37m33s;USI_ROS_UIK
11.90.231.7;lag-3:29*;ac:cb:51:00:55:49;02h08m07s;USI_ROS_UIK
11.90.231.8;lag-3:29*;ac:cb:51:00:59:3c;03h40m47s;USI_ROS_UIK
11.90.231.9;lag-3:29*;ac:cb:51:00:54:fc;01h52m47s;USI_ROS_UIK
11.90.231.10;lag-3:29*;ac:cb:51:00:59:b5;03h07m06s;USI_ROS_UIK
11.90.231.11;lag-3:29*;ac:cb:51:00:57:d7;01h45m50s;USI_ROS_UIK
11.90.231.12;lag-3:29*;ac:cb:51:00:59:b2;03h46m57s;USI_ROS_UIK
11.90.231.13;lag-3:29*;ac:cb:51:00:56:d3;02h26m26s;USI_ROS_UIK
11.90.231.14;lag-3:29*;ac:cb:51:00:59:a6;03h17m26s;USI_ROS_UIK
11.90.231.15;lag-3:29*;ac:cb:51:00:59:99;02h33m18s;USI_ROS_UIK
11.90.231.16;lag-3:29*;ac:cb:51:00:54:3a;03h12m07s;USI_ROS_UIK
11.90.231.17;lag-3:29*;ac:cb:51:00:51:3b;03h22m12s;USI_ROS_UIK
11.90.231.18;lag-3:29*;ac:cb:51:00:4e:d9;00h14m43s;USI_ROS_UIK
11.90.231.19;lag-3:29*;ac:cb:51:00:54:5a;01h26m43s;USI_ROS_UIK
11.90.231.20;lag-3:29*;ac:cb:51:00:4f:a2;00h39m51s;USI_ROS_UIK
11.90.231.21;lag-3:29*;ac:cb:51:00:4e:92;00h02m40s;USI_ROS_UIK
11.90.231.22;lag-3:29*;ac:cb:51:00:52:12;03h29m30s;USI_ROS_UIK
11.90.231.23;lag-3:29*;ac:cb:51:00:5a:4a;01h48m23s;USI_ROS_UIK
11.90.231.24;lag-3:29*;ac:cb:51:00:58:32;00h03m58s;USI_ROS_UIK
11.90.231.25;lag-3:29*;ac:cb:51:00:5a:4c;02h29m37s;USI_ROS_UIK
11.90.231.26;lag-3:29*;ac:cb:51:00:58:15;01h55m15s;USI_ROS_UIK
